classes,class_desc
ActionBar.TabListener,"This interface was deprecated
      in API level 21.
    Action bar navigation modes are deprecated and not supported by inline
 toolbar action bars. Consider using other
 common
 navigation patterns instead."
ActionMenuView,ActionMenuView is a presentation of a series of menu options as a View.
ActionMenuView.LayoutParams,
ActionMenuView.OnMenuItemClickListener,"Interface responsible for receiving menu item click events if the items themselves
 do not have individual item click listeners."
ActionMode,Represents a contextual mode of the user interface.
ActionMode.Callback,Callback interface for action modes.
ActionMode.Callback2,Extension of ActionMode.Callback to provide content rect information.
ActionProvider,An ActionProvider defines rich menu interaction in a single component.
ActionProvider.VisibilityListener,Listens to changes in visibility as reported by ActionProvider.refreshVisibility().
Activity,"An activity is a single, focused thing that the user can do."
ActivityGroup,"This class was deprecated
      in API level 13.
    Use the new Fragment and FragmentManager APIs
 instead; these are also
 available on older platforms through the Android compatibility package."
ActivityInfo,"Information you can retrieve about a particular application
 activity or receiver."
ActivityInfo.WindowLayout,Contains information about position and size of the activity on the display.
ActivityInstrumentationTestCase<T extends Activity>,"This class was deprecated
      in API level 3.
    new tests should be written using
 ActivityInstrumentationTestCase2, which provides more options for
 configuring the Activity under test"
ActivityInstrumentationTestCase2<T extends Activity>,"This class was deprecated
      in API level 24.
    Use
 
 ActivityTestRule instead. New tests should be written using the
 Android Testing Support Library."
ActivityManager,"This class gives information about, and interacts
 with, activities, services, and the containing
 process."
ActivityManager.AppTask,The AppTask allows you to manage your own application's tasks.
ActivityManager.MemoryInfo,"Information you can retrieve about the available memory through
 ActivityManager.getMemoryInfo(ActivityManager.MemoryInfo)."
ActivityManager.ProcessErrorStateInfo,Information you can retrieve about any processes that are in an error condition.
ActivityManager.RecentTaskInfo,"Information you can retrieve about tasks that the user has most recently
 started or visited."
ActivityManager.RunningAppProcessInfo,Information you can retrieve about a running process.
ActivityManager.RunningServiceInfo,"Information you can retrieve about a particular Service that is
 currently running in the system."
ActivityManager.RunningTaskInfo,"Information you can retrieve about a particular task that is currently
 ""running"" in the system."
ActivityManager.TaskDescription,Information you can set and retrieve about the current activity within the recent task list.
ActivityNotFoundException,"This exception is thrown when a call to Context.startActivity(Intent) or
 one of its variants fails because an Activity can not be found to execute
 the given Intent."
ActivityOptions,"Helper class for building an options Bundle that can be used with
 Context.startActivity(Intent, Bundle) and related methods."
ActivityTestCase,"This class was deprecated
      in API level 24.
    New tests should be written using the
 Android Testing Support Library."
ActivityUnitTestCase<T extends Activity>,"This class was deprecated
      in API level 24.
    Write
 Local Unit Tests
 instead."
Adapter,"An Adapter object acts as a bridge between an AdapterView and the
 underlying data for that view."
AdapterView<T extends Adapter>,An AdapterView is a view whose children are determined by an Adapter.
AdapterView.AdapterContextMenuInfo,"Extra menu information provided to the
 View.OnCreateContextMenuListener.onCreateContextMenu(ContextMenu, View, ContextMenuInfo)
 callback when a context menu is brought up for this AdapterView."
AdapterView.OnItemClickListener,"Interface definition for a callback to be invoked when an item in this
 AdapterView has been clicked."
AdapterView.OnItemLongClickListener,"Interface definition for a callback to be invoked when an item in this
 view has been clicked and held."
AdapterView.OnItemSelectedListener,"Interface definition for a callback to be invoked when
 an item in this view has been selected."
AdapterViewAnimator,"Base class for a AdapterView that will perform animations
 when switching between its views."
AdapterViewFlipper,"Simple ViewAnimator that will animate between two or more views
 that have been added to it."
AdaptiveIconDrawable,"This class can also be created via XML inflation using <adaptive-icon> tag
 in addition to dynamic creation."
Address,"A class representing an Address, i.e, a set of Strings describing a location."
Adler32,"A class that can be used to compute the Adler-32 checksum of a data
 stream."
Advanceable,"This interface can be implemented by any collection-type view which has a notion of
 progressing through its set of children."
AdvertiseCallback,"Bluetooth LE advertising callbacks, used to deliver advertising operation status."
AdvertiseData,Advertise data packet container for Bluetooth LE advertising.
AdvertiseData.Builder,Builder for AdvertiseData.
AdvertiseSettings,"The AdvertiseSettings provide a way to adjust advertising preferences for each
 Bluetooth LE advertisement instance."
AdvertiseSettings.Builder,Builder class for AdvertiseSettings.
AdvertisingSet,This class provides a way to control single Bluetooth LE advertising instance.
AdvertisingSetCallback,"Bluetooth LE advertising set callbacks, used to deliver advertising operation
 status."
AdvertisingSetParameters,"The AdvertisingSetParameters provide a way to adjust advertising
 preferences for each
 Bluetooth LE advertising set."
AdvertisingSetParameters.Builder,Builder class for AdvertisingSetParameters.
AEADBadTagException,"This exception is thrown when a Cipher operating in
 an AEAD mode (such as GCM/CCM) is unable to verify the supplied
 authentication tag."
AlarmClock,"The AlarmClock provider contains an Intent action and extras that can be used
 to start an Activity to set a new alarm or timer in an alarm clock application."
AlarmManager,This class provides access to the system alarm services.
AlarmManager.AlarmClockInfo,"An immutable description of a scheduled ""alarm clock"" event."
AlarmManager.OnAlarmListener,"Direct-notification alarms: the requester must be running continuously from the
 time the alarm is set to the time it is delivered, or delivery will fail."
AlertDialog,"A subclass of Dialog that can display one, two or three buttons."
AlertDialog.Builder,
AlgorithmConstraints,"This interface specifies constraints for cryptographic algorithms,
 keys (key sizes), and other algorithm parameters."
AlgorithmParameterGenerator,"The AlgorithmParameterGenerator class is used to generate a
 set of
 parameters to be used with a certain algorithm."
AlgorithmParameterGeneratorSpi,"This class defines the Service Provider Interface (SPI)
 for the AlgorithmParameterGenerator class, which
 is used to generate a set of parameters to be used with a certain algorithm."
AlgorithmParameters,This class is used as an opaque representation of cryptographic parameters.
AlgorithmParameterSpec,A (transparent) specification of cryptographic parameters.
AlgorithmParametersSpi,"This class defines the Service Provider Interface (SPI)
 for the AlgorithmParameters class, which is used to manage
 algorithm parameters."
AliasActivity,"Stub activity that launches another activity (and then finishes itself)
 based on information in its component's manifest meta-data."
AlignmentSpan,Span that allows defining the alignment of text at the paragraph level.
AlignmentSpan.Standard,Default implementation of the AlignmentSpan.
Allocation,"This class provides the primary method through which data is passed to
 and from RenderScript kernels."
Allocation.MipmapControl,"Controls mipmap behavior when using the bitmap creation and update
 functions."
Allocation.OnBufferAvailableListener,"Interface to handle notification when new buffers are available via
 Allocation.USAGE_IO_INPUT."
AllocationAdapter,Only intended for use by generated reflected code.
AllowAllHostnameVerifier,"This class was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
AllPermission,Legacy security code; do not use.
AlphaAnimation,An animation that controls the alpha level of an object.
AlphabeticIndex<V>,AlphabeticIndex supports the creation of a UI index appropriate for a given language.
AlphabeticIndex.Bucket<V>,"An index ""bucket"" with a label string and type."
AlphabeticIndex.Bucket.LabelType,Type of the label
AlphabeticIndex.ImmutableIndex<V>,"Immutable, thread-safe version of AlphabeticIndex."
AlphabeticIndex.Record<V>,"A (name, data) pair, to be sorted by name into one of the index buckets."
AlphabetIndexer,A helper class for adapters that implement the SectionIndexer interface.
AlreadyBoundException,"Unchecked exception thrown when an attempt is made to bind the socket a
 network oriented channel that is already bound."
AlreadyConnectedException,Unchecked exception thrown when an attempt is made to connect a SocketChannel that is already connected.
AlteredCharSequence,"An AlteredCharSequence is a CharSequence that is largely mirrored from
 another CharSequence, except that a specified range of characters are
 mirrored from a different char array instead."
AlwaysOnHotwordDetector,"A class that lets a VoiceInteractionService implementation interact with
 always-on keyphrase detection APIs."
AlwaysOnHotwordDetector.Callback,Callbacks for always-on hotword detection.
AlwaysOnHotwordDetector.EventPayload,Additional payload for AlwaysOnHotwordDetector.Callback.onDetected(AlwaysOnHotwordDetector.EventPayload).
AnalogClock,"This class was deprecated
      in API level 23.
    This widget is no longer supported."
AndroidCharacter,"This class was deprecated
      in API level 26.
    Use various methods from UCharacter, instead."
AndroidException,Base class for all checked exceptions thrown by the Android frameworks.
AndroidRuntimeException,Base class for all unchecked exceptions thrown by the Android frameworks.
AndroidTestCase,"This class was deprecated
      in API level 24.
    Use
 
 InstrumentationRegistry instead. New tests should be written using the
 Android Testing Support Library."
AndroidTestRunner,"This class was deprecated
      in API level 24.
    Use
 
 AndroidJUnitRunner instead. New tests should be written using the
 Android Testing Support Library."
Animatable,Interface that drawables supporting animations should implement.
Animatable2,Abstract class that drawables supporting animations and callbacks should extend.
Animatable2.AnimationCallback,
AnimatedImageDrawable,Drawable for drawing animated images (like GIF).
AnimatedStateListDrawable,"Drawable containing a set of Drawable keyframes where the currently displayed
 keyframe is chosen based on the current state set."
AnimatedVectorDrawable,"This class animates properties of a VectorDrawable with
 animations defined using ObjectAnimator or
 AnimatorSet."
Animation,"Abstraction for an Animation that can be applied to Views, Surfaces, or
 other objects."
Animation.AnimationListener,An animation listener receives notifications from an animation.
Animation.Description,Utility class to parse a string description of a size.
AnimationDrawable,"An object used to create frame-by-frame animations, defined by a series of
 Drawable objects, which can be used as a View object's background."
AnimationSet,Represents a group of Animations that should be played together.
AnimationUtils,Defines common utilities for working with animations.
Animator,"This is the superclass for classes which provide basic support for animations which can be
 started, ended, and have AnimatorListeners added to them."
Animator.AnimatorListener,An animation listener receives notifications from an animation.
Animator.AnimatorPauseListener,"A pause listener receives notifications from an animation when the
 animation is paused or resumed."
AnimatorInflater,This class is used to instantiate animator XML files into Animator objects.
AnimatorListenerAdapter,This adapter class provides empty implementations of the methods from Animator.AnimatorListener.
AnimatorSet,This class plays a set of Animator objects in the specified order.
AnimatorSet.Builder,"The Builder object is a utility class to facilitate adding animations to a
 AnimatorSet along with the relationships between the various animations."
AnnotatedElement,"Represents an annotated element of the program currently running in this
 VM."
Annotation,"Annotations are simple key-value pairs that are preserved across
 TextView save/restore cycles and can be used to keep application-specific
 data that needs to be maintained for regions of text."
Annotation,The common interface extended by all annotation types.
Annotation,"An Annotation object is used as a wrapper for a text attribute value if
 the attribute has annotation characteristics."
AnnotationFormatError,"Thrown when the annotation parser attempts to read an annotation
 from a class file and determines that the annotation is malformed."
AnnotationTypeMismatchException,"Thrown to indicate that a program has attempted to access an element of
 an annotation whose type has changed after the annotation was compiled
 (or serialized)."
AnticipateInterpolator,An interpolator where the change starts backward then flings forward.
AnticipateOvershootInterpolator,"An interpolator where the change starts backward then flings forward and overshoots
 the target value and finally goes back to the final value."
ApnSetting,An Access Point Name (APN) configuration for a carrier data connection.
ApnSetting.Builder,"Provides a convenient way to set the fields of a ApnSetting when creating a new
 instance."
AppComponentFactory,Interface used to control the instantiation of manifest elements.
Appendable,An object to which char sequences and values can be appended.
Application,Base class for maintaining global application state.
Application.ActivityLifecycleCallbacks,
Application.OnProvideAssistDataListener,"Callback interface for use with Application.registerOnProvideAssistDataListener(Application.OnProvideAssistDataListener)
 and Application.unregisterOnProvideAssistDataListener(Application.OnProvideAssistDataListener)."
ApplicationErrorReport,Describes an application error.
ApplicationErrorReport.AnrInfo,Describes an application not responding error.
ApplicationErrorReport.BatteryInfo,Describes a battery usage report.
ApplicationErrorReport.CrashInfo,Describes an application crash.
ApplicationErrorReport.RunningServiceInfo,Describes a running service report.
ApplicationInfo,Information you can retrieve about a particular application.
ApplicationInfo.DisplayNameComparator,
ApplicationTestCase<T extends Application>,"This class was deprecated
      in API level 24.
    Use
 
 InstrumentationRegistry instead. New tests should be written using the
 Android Testing Support Library."
AppOpsManager,"API for interacting with ""application operation"" tracking."
AppOpsManager.OnOpChangedListener,Callback for notification of changes to operation state.
AppWidgetHost,"AppWidgetHost provides the interaction with the AppWidget service for apps,
 like the home screen, that want to embed AppWidgets in their UI."
AppWidgetHostView,Provides the glue to show AppWidget views.
AppWidgetManager,"Updates AppWidget state; gets information about installed AppWidget providers and other
 AppWidget related state."
AppWidgetProvider,A convenience class to aid in implementing an AppWidget provider.
AppWidgetProviderInfo,Describes the meta data for an installed AppWidget provider.
ArcMotion,"A PathMotion that generates a curved path along an arc on an imaginary circle containing
 the two points."
ArcShape,Creates an arc shape.
ArgbEvaluator,"This evaluator can be used to perform type interpolation between integer
 values that represent ARGB colors."
ArithmeticException,Thrown when an exceptional arithmetic condition has occurred.
Array,"The Array class provides static methods to dynamically create and
 access Java arrays."
Array,"The mapping in the Java programming language for the SQL type
 ARRAY."
ArrayAdapter<T>,"You can use this adapter to provide views for an AdapterView,
 Returns a view for each object in a collection of data objects you
 provide, and can be used with list-based user interface widgets such as
 ListView or Spinner."
ArrayBlockingQueue<E>,"A bounded blocking queue backed by an
 array."
ArrayDeque<E>,Resizable-array implementation of the Deque interface.
ArrayIndexOutOfBoundsException,"Thrown to indicate that an array has been accessed with an
 illegal index."
ArrayList<E>,Resizable-array implementation of the List interface.
"ArrayMap<K, V>","ArrayMap is a generic key->value mapping data structure that is
 designed to be more memory efficient than a traditional HashMap."
Arrays,"This class contains various methods for manipulating arrays (such as
 sorting and searching)."
ArraySet<E>,"ArraySet is a generic set data structure that is designed to be more memory efficient than a
 traditional HashSet."
ArrayStoreException,"Thrown to indicate that an attempt has been made to store the
 wrong type of object into an array of objects."
ArrowKeyMovementMethod,A movement method that provides cursor movement and selection.
Assert,A set of assert methods.
AssertionError,Thrown to indicate that an assertion has failed.
AssertionFailedError,"This class was deprecated
      in API level 16.
    use junit.framework.AssertionFailedError"
AssertionFailedError,Thrown when an assertion failed.
AssetFileDescriptor,File descriptor of an entry in the AssetManager.
AssetFileDescriptor.AutoCloseInputStream,"An InputStream you can create on a ParcelFileDescriptor, which will
 take care of calling ParcelFileDescriptor.close() for you when the stream is closed."
AssetFileDescriptor.AutoCloseOutputStream,"An OutputStream you can create on a ParcelFileDescriptor, which will
 take care of calling ParcelFileDescriptor.close() for you when the stream is closed."
AssetManager,"Provides access to an application's raw asset files; see Resources
 for the way most applications will want to retrieve their resource data."
AssetManager.AssetInputStream,
AssistContent,"Holds information about the content an application is viewing, to hand to an
 assistant at the user's request."
AssistStructure,"This API automatically creates assist data from the platform's
 implementation of assist and autofill."
AssistStructure.ViewNode,Describes a single view in the assist data.
AssistStructure.WindowNode,Describes a window in the assist data.
AssociationRequest,A request for the user to select a companion device to associate with.
AssociationRequest.Builder,A builder for AssociationRequest
AsynchronousByteChannel,An asynchronous channel that can read and write bytes.
AsynchronousChannel,A channel that supports asynchronous I/O operations.
AsynchronousChannelGroup,A grouping of asynchronous channels for the purpose of resource sharing.
AsynchronousChannelProvider,Service-provider class for asynchronous channels.
AsynchronousCloseException,"Checked exception received by a thread when another thread closes the
 channel or the part of the channel upon which it is blocked in an I/O
 operation."
AsynchronousFileChannel,"An asynchronous channel for reading, writing, and manipulating a file."
AsynchronousServerSocketChannel,An asynchronous channel for stream-oriented listening sockets.
AsynchronousSocketChannel,An asynchronous channel for stream-oriented connecting sockets.
AsyncPlayer,"Plays a series of audio URIs, but does all the hard work on another thread
 so that any slowness with preparing or loading doesn't block the calling thread."
AsyncQueryHandler,"A helper class to help make handling asynchronous ContentResolver
 queries easier."
AsyncQueryHandler.WorkerArgs,
AsyncQueryHandler.WorkerHandler,
"AsyncTask<Params, Progress, Result>",AsyncTask enables proper and easy use of the UI thread.
AsyncTask.Status,Indicates the current status of the task.
AsyncTaskLoader<D>,"This class was deprecated
      in API level 28.
    Use the Support Library
      AsyncTaskLoader"
AtomicBoolean,A boolean value that may be updated atomically.
AtomicFile,"Helper class for performing atomic operations on a file by creating a
 backup file until a write has successfully completed."
AtomicInteger,An int value that may be updated atomically.
AtomicIntegerArray,An int array in which elements may be updated atomically.
AtomicIntegerFieldUpdater<T>,"A reflection-based utility that enables atomic updates to
 designated volatile int fields of designated classes."
AtomicLong,A long value that may be updated atomically.
AtomicLongArray,A long array in which elements may be updated atomically.
AtomicLongFieldUpdater<T>,"A reflection-based utility that enables atomic updates to
 designated volatile long fields of designated classes."
AtomicMarkableReference<V>,"An AtomicMarkableReference maintains an object reference
 along with a mark bit, that can be updated atomically."
AtomicMoveNotSupportedException,"Checked exception thrown when a file cannot be moved as an atomic file system
 operation."
AtomicReference<V>,An object reference that may be updated atomically.
AtomicReferenceArray<E>,"An array of object references in which elements may be updated
 atomically."
"AtomicReferenceFieldUpdater<T, V>","A reflection-based utility that enables atomic updates to
 designated volatile reference fields of designated
 classes."
AtomicStampedReference<V>,"An AtomicStampedReference maintains an object reference
 along with an integer ""stamp"", that can be updated atomically."
AttachCallback,Base class for Aware attach callbacks.
AttestedKeyPair,"The AttestedKeyPair class contains a KeyPair instance of
 keys generated by Keystore and owned by KeyChain, as well as an attestation
 record for the key."
Attr,"The Attr interface represents an attribute in an
 Element object."
AttributedCharacterIterator,"An AttributedCharacterIterator allows iteration through both text and
 related attribute information."
AttributedCharacterIterator.Attribute,Defines attribute keys that are used to identify text attributes.
AttributedString,An AttributedString holds text and related attribute information.
AttributeList,"This interface was deprecated
      in API level 1.
    This interface has been replaced by the SAX2
             Attributes
             interface, which includes Namespace support."
AttributeListImpl,"This class was deprecated
      in API level 1.
    This class implements a deprecated interface,
             AttributeList;
             that interface has been replaced by
             Attributes,
             which is implemented in the
             AttributesImpl helper class."
Attributes,"The Attributes class maps Manifest attribute names to associated string
 values."
Attributes,Interface for a list of XML attributes.
Attributes.Name,"The Attributes.Name class represents an attribute name stored in
 this Map."
Attributes2,"SAX2 extension to augment the per-attribute information
 provided though Attributes."
Attributes2Impl,"SAX2 extension helper for additional Attributes information,
 implementing the Attributes2 interface."
AttributeSet,"A collection of attributes, as found associated with a tag in an XML
 document."
AttributesImpl,Default implementation of the Attributes interface.
AttributeView,"An object that provides a read-only or updatable view of non-opaque
 values associated with an object in a filesystem."
AudioAttributes,"A class to encapsulate a collection of attributes describing information about an audio
 stream."
AudioAttributes.Builder,Builder class for AudioAttributes objects.
AudioCodec,"This class defines a collection of audio codecs to be used with
 AudioStreams."
AudioDeviceCallback,"AudioDeviceCallback defines the mechanism by which applications can receive notifications
 of audio device connection and disconnection events."
AudioDeviceInfo,Class to provide information about the audio devices.
AudioEffect,"AudioEffect is the base class for controlling audio effects provided by the android audio
 framework."
AudioEffect.Descriptor,"The effect descriptor contains information on a particular effect implemented in the
 audio framework:
 
  type: UUID identifying the effect type."
AudioEffect.OnControlStatusChangeListener,"The OnControlStatusChangeListener interface defines a method called by the AudioEffect
 when a the control of the effect engine is gained or lost by the application"
AudioEffect.OnEnableStatusChangeListener,"The OnEnableStatusChangeListener interface defines a method called by the AudioEffect
 when a the enabled state of the effect engine was changed by the controlling application."
AudioFocusRequest,A class to encapsulate information about an audio focus request.
AudioFocusRequest.Builder,Builder class for AudioFocusRequest objects.
AudioFormat,"The AudioFormat class is used to access a number of audio format and
 channel configuration constants."
AudioFormat.Builder,Builder class for AudioFormat objects.
AudioGroup,"An AudioGroup is an audio hub for the speaker, the microphone, and
 AudioStreams."
AudioManager,AudioManager provides access to volume and ringer mode control.
AudioManager.AudioPlaybackCallback,Interface for receiving update notifications about the playback activity on the system.
AudioManager.AudioRecordingCallback,Interface for receiving update notifications about the recording configuration.
AudioManager.OnAudioFocusChangeListener,"Interface definition for a callback to be invoked when the audio focus of the system is
 updated."
AudioPlaybackConfiguration,"The AudioPlaybackConfiguration class collects the information describing an audio playback
 session."
AudioPresentation,"The AudioPresentation class encapsulates the information that describes an audio presentation
 which is available in next generation audio content."
AudioRecord,"The AudioRecord class manages the audio resources for Java applications
 to record audio from the audio input hardware of the platform."
AudioRecord.Builder,Builder class for AudioRecord objects.
AudioRecord.MetricsConstants,
AudioRecord.OnRecordPositionUpdateListener,"Interface definition for a callback to be invoked when an AudioRecord has
 reached a notification marker set by AudioRecord.setNotificationMarkerPosition(int)
 or for periodic updates on the progress of the record head, as set by
 AudioRecord.setPositionNotificationPeriod(int)."
AudioRecord.OnRoutingChangedListener,"This interface was deprecated
      in API level 24.
    users should switch to the general purpose
             AudioRouting.OnRoutingChangedListener class instead."
